,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,name_customer_enc,cust_payment_terms_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_createdate,month_of_createdate,year_of_createdate,day_of_due,month_of_due,year_of_due,clear_date,Aging Bucket
17,200772670,2020.0,1930765053.0,174766.36,66,187,46,9,4,2020,9,4,2020,24,4,2020,1970-01-05 23:51:03.625000024,0-15
18,200900909,2020.0,1930645969.0,31512.75,66,2767,11,13,3,2020,13,3,2020,14,4,2020,1970-01-02 17:51:57.656250014,0-15
19,200769623,2020.0,1930718081.0,19701.55,66,3003,32,30,3,2020,30,3,2020,14,4,2020,1970-01-08 00:18:12.750000014,0-15
20,200726979,2020.0,1930788667.0,132.72,66,333,18,16,4,2020,16,4,2020,1,5,2020,1969-12-28 08:31:51.375000001,
21,200769623,2020.0,1930709919.0,1121.15,66,3002,32,29,3,2020,29,3,2020,13,4,2020,1970-01-05 17:37:03.562500013,0-15
22,200769623,2020.0,1930752568.0,11394.84,66,3002,32,6,4,2020,6,4,2020,21,4,2020,1970-01-08 00:11:51.437500021,0-15
23,140105847,2020.0,2960627274.0,2579.64,66,1138,5,8,4,2020,8,4,2020,18,4,2020,1970-01-08 00:38:07.437500018,0-15
24,200744019,2020.0,1930648342.0,52123.3,66,2793,18,15,3,2020,15,3,2020,30,3,2020,1970-01-05 07:46:26.656250030,0-15
25,200769623,2020.0,1930632791.0,14994.01,66,3003,32,10,3,2020,10,3,2020,25,3,2020,1970-01-07 19:27:29.062500025,0-15
26,200769623,2020.0,1930617194.0,36.06,66,3002,32,6,3,2020,6,3,2020,21,3,2020,1970-01-03 10:12:07.265625021,0-15
27,200418007,2020.0,1930752243.0,25836.19,66,95,18,6,4,2020,6,4,2020,21,4,2020,1970-01-03 06:51:10.328125021,0-15
28,200739006,2020.0,1930768064.0,4309.05,66,53,18,15,4,2020,15,4,2020,30,4,2020,1970-01-11 12:27:43.687500030,0-15
29,100031704,2020.0,1930789873.0,70181.07,66,747,18,15,4,2020,15,4,2020,30,4,2020,1970-01-05 09:29:07.312500030,0-15
30,200769623,2020.0,1930705172.0,3403.8,66,3004,32,28,3,2020,28,3,2020,12,4,2020,1970-01-08 00:30:45.937500012,0-15
31,200744019,2020.0,1930620634.0,10665.53,66,2796,31,10,3,2020,10,3,2020,14,5,2020,1970-01-08 08:13:26.312500014,0-15
32,200769623,2020.0,1930676002.0,7280.51,66,2995,32,21,3,2020,21,3,2020,5,4,2020,1970-01-07 12:25:28.500000005,0-15
33,200726979,2020.0,1930585378.0,13681.7,66,328,18,2,3,2020,2,3,2020,17,3,2020,1970-01-03 18:17:39.640625017,0-15
34,200706844,2020.0,1930773419.0,33947.85,66,3061,18,7,4,2020,7,4,2020,22,4,2020,1970-01-12 23:02:18.687500022,0-15
35,200793830,2020.0,1930767747.0,4537.14,66,1718,18,8,4,2020,8,4,2020,23,4,2020,1970-01-02 12:51:35.515625023,0-15
36,200769623,2020.0,1930750455.0,14355.96,66,3000,32,6,4,2020,6,4,2020,21,4,2020,1970-01-08 05:21:47.875000021,0-15
37,200769623,2020.0,1930738904.0,367.71,66,3003,32,3,4,2020,3,4,2020,18,4,2020,1970-01-03 03:31:10.578125018,0-15
38,200769623,2020.0,1930862467.0,56284.77,66,3004,32,6,5,2020,6,5,2020,21,5,2020,1970-01-04 02:12:43.000000021,0-15
39,200769623,2020.0,1930582162.0,50493.86,66,3003,32,29,2,2020,29,2,2020,15,3,2020,1970-01-08 12:16:01.437500015,0-15
40,200769623,2020.0,1930802490.0,15489.43,66,3002,32,21,4,2020,21,4,2020,6,5,2020,1970-01-08 05:13:43.875000006,0-15
41,140104423,2020.0,2960617050.0,93179.35199999998,66,1900,5,27,2,2020,1,3,2020,11,3,2020,1969-12-29 03:32:51.937500011,
42,200726979,2020.0,1930801417.0,360.33,66,332,18,19,4,2020,19,4,2020,4,5,2020,1969-12-30 12:55:52.625000004,
43,200743996,2020.0,1930660304.0,3826.03,66,2622,31,16,3,2020,16,3,2020,20,5,2020,1969-12-25 19:58:17.750000020,
44,200752302,2020.0,1930733767.0,96674.05,66,1589,18,2,4,2020,2,4,2020,17,4,2020,1969-12-28 10:01:45.656250017,
45,140105686,2020.0,2960633120.0,43230.299,66,2714,5,6,5,2020,8,5,2020,18,5,2020,1970-01-09 08:55:16.875000018,0-15
46,200711029,2020.0,1930742932.0,14382.22,66,3027,18,3,4,2020,3,4,2020,18,4,2020,1970-01-12 06:39:59.000000018,0-15
47,2001,2020.0,2960622220.0,17828.068999999996,66,1522,30,20,3,2020,23,3,2020,27,4,2020,1970-01-12 09:17:26.875000027,0-15
48,200769623,2020.0,1930804924.0,35509.95,66,3002,32,21,4,2020,21,4,2020,6,5,2020,1970-01-08 07:59:39.500000006,0-15
49,200769623,2020.0,1930746955.0,13512.61,66,2996,32,5,4,2020,5,4,2020,20,4,2020,1970-01-07 08:36:17.000000020,0-15
50,200772670,2020.0,1930698156.0,24421.33,66,186,46,24,3,2020,24,3,2020,8,4,2020,1970-01-03 17:21:03.078125008,0-15
51,200769623,2020.0,1930801200.0,11217.33,66,2997,32,19,4,2020,19,4,2020,4,5,2020,1970-01-07 16:37:00.250000004,0-15
52,200769623,2020.0,1930776682.0,12554.13,66,3003,32,13,4,2020,13,4,2020,28,4,2020,1970-01-08 01:28:07.187500028,0-15
53,200720238,2020.0,1930858727.0,126919.03,66,2919,18,6,5,2020,6,5,2020,21,5,2020,1970-01-13 20:59:45.500000021,0-15
54,140106408,2020.0,2960631200.0,28537.684,66,2990,5,25,4,2020,25,4,2020,5,5,2020,1970-01-21 20:15:11.875000005,16-30
55,200769623,2020.0,1930729999.0,24834.9,66,2997,32,1,4,2020,1,4,2020,16,4,2020,1970-01-05 23:56:20.562500016,0-15
56,200769623,2020.0,1930653060.0,50202.83,66,3005,32,15,3,2020,15,3,2020,30,3,2020,1970-01-04 14:46:04.062500030,0-15
57,200769623,2020.0,1930715979.0,8299.7,66,3005,32,1,4,2020,1,4,2020,16,4,2020,1970-01-06 16:00:42.468750016,0-15
58,200799367,2020.0,1930673430.0,51602.13,66,1833,18,24,3,2020,24,3,2020,8,4,2020,1970-01-02 11:48:23.109375008,0-15
59,200759878,2020.0,1930783249.0,18900.99,66,2387,32,14,4,2020,14,4,2020,29,4,2020,1970-01-03 09:44:11.296875029,0-15
60,200794332,2020.0,1930638145.0,49467.7,66,628,20,14,3,2020,14,3,2020,29,3,2020,1970-01-03 19:06:21.671875029,0-15
61,200515231,2020.0,1930768145.0,10187.66,66,2911,18,9,4,2020,9,4,2020,24,4,2020,1970-01-11 12:18:54.687500024,0-15
62,200782669,2020.0,1930636977.0,237.4,66,2699,18,13,3,2020,13,3,2020,28,3,2020,1969-12-29 23:05:57.828125028,
63,200769623,2020.0,1930882979.0,11532.84,66,3000,32,12,5,2020,12,5,2020,27,5,2020,1970-01-07 01:39:40.625000027,0-15
64,200769623,2020.0,1930692833.0,20017.92,66,2995,32,24,3,2020,24,3,2020,8,4,2020,1970-01-07 11:46:17.500000008,0-15
65,200331749,2020.0,1930579080.0,5320.85,66,2712,18,28,2,2020,28,2,2020,14,3,2020,1970-01-04 21:43:59.125000014,0-15
66,200772670,2020.0,1930819529.0,30900.83,66,184,46,23,4,2020,23,4,2020,8,5,2020,1970-01-04 04:22:23.156250008,0-15
67,200772670,2020.0,1930736164.0,65843.26,66,193,46,2,4,2020,2,4,2020,17,4,2020,1970-01-06 07:47:20.281250017,0-15
68,200706844,2020.0,1930599854.0,359.44,66,3065,18,4,3,2020,4,3,2020,19,3,2020,1970-01-07 02:33:03.937500019,0-15
69,100043975,2020.0,1930740345.0,1427.36,66,2919,18,3,4,2020,3,4,2020,18,4,2020,1970-01-12 01:09:20.812500018,0-15
70,200762301,2020.0,1930592552.0,99091.71,66,448,24,4,3,2020,4,3,2020,19,3,2020,1970-01-04 12:22:16.625000019,0-15
71,200148860,2020.0,1930732920.0,6543.44,66,810,31,3,4,2020,3,4,2020,7,6,2020,1970-01-02 21:50:34.062500007,0-15
72,100027744,2020.0,2960635652.0,4924.5,66,2053,7,19,5,2020,19,5,2020,19,5,2020,1970-01-01 11:57:32.765625019,0-15
73,100031704,2020.0,1930585468.0,106394.18,66,748,18,1,3,2020,1,3,2020,16,3,2020,1970-01-02 08:59:39.125000016,0-15
74,200799420,2020.0,1930703225.0,801.1,66,2919,18,25,3,2020,25,3,2020,9,4,2020,1970-01-11 10:45:38.562500009,0-15
75,200974851,2020.0,1930706997.0,3566.69,66,2321,18,26,3,2020,26,3,2020,10,4,2020,1970-01-02 15:50:34.281250010,0-15
76,200769623,2020.0,1930830709.0,8885.57,66,3001,32,28,4,2020,28,4,2020,13,5,2020,1970-01-08 06:33:12.312500013,0-15
77,200793568,2020.0,1930630388.0,15893.27,66,2659,18,10,3,2020,10,3,2020,25,3,2020,1970-01-02 02:31:56.890625025,0-15
78,200759878,2020.0,1930609945.0,70180.8,66,2390,32,6,3,2020,6,3,2020,21,3,2020,1969-12-29 07:36:23.140625021,
79,200712187,2020.0,1930806222.0,119384.36,66,2604,18,20,4,2020,20,4,2020,5,5,2020,1969-12-31 00:29:37.023437505,
80,100047532,2020.0,1930592834.0,11852.54,66,2919,18,4,3,2020,4,3,2020,19,3,2020,1970-01-19 08:49:21.875000019,16-30
81,200794332,2020.0,1930562584.0,11225.42,66,627,15,28,2,2020,28,2,2020,19,3,2020,1970-01-01 05:45:02.199218769,0-15
82,200148860,2020.0,1930699340.0,5456.75,66,810,31,25,3,2020,25,3,2020,29,5,2020,1970-01-03 11:15:19.703125029,0-15
83,200794332,2020.0,1930862420.0,81500.86,66,632,20,8,5,2020,8,5,2020,23,5,2020,1970-01-03 05:13:28.390625023,0-15
84,200555117,2020.0,1930709963.0,749.14,66,394,18,27,3,2020,27,3,2020,11,4,2020,1970-01-01 11:47:43.722656261,0-15
85,200769623,2020.0,1930878284.0,2219.89,66,3001,32,9,5,2020,9,5,2020,24,5,2020,1970-01-05 09:56:53.718750024,0-15
86,200772670,2020.0,1930683241.0,15489.78,66,186,46,21,3,2020,21,3,2020,5,4,2020,1970-01-02 15:41:40.078125005,0-15
87,200707822,2020.0,1930857983.0,126107.91,66,2226,18,4,5,2020,4,5,2020,19,5,2020,1969-12-29 16:09:04.796875019,
88,140104392,2020.0,2960619205.0,2528.673,66,2919,5,6,3,2020,10,3,2020,20,3,2020,1970-01-18 12:11:55.000000020,16-30
89,200769623,2020.0,1930831780.0,11545.38,66,2998,32,28,4,2020,28,4,2020,13,5,2020,1970-01-08 04:12:21.937500013,0-15
90,200759878,2020.0,1930717567.0,47646.57,66,2393,32,31,3,2020,31,3,2020,15,4,2020,1969-12-30 23:25:34.546875015,
91,200705742,2020.0,1930581678.0,5932.51,66,843,18,28,2,2020,28,2,2020,14,3,2020,1969-12-30 20:41:28.742187514,
92,200793568,2020.0,1930690537.0,1635.76,66,2661,18,23,3,2020,23,3,2020,7,4,2020,1969-12-31 06:13:12.339843757,
93,200726979,2020.0,1930646128.0,1286.3,66,324,18,12,3,2020,12,3,2020,27,3,2020,1970-01-01 03:01:31.753906277,0-15
94,200704858,2020.0,1930762384.0,99568.42,66,2969,18,9,4,2020,9,4,2020,24,4,2020,1970-01-14 06:43:30.000000024,0-15
95,200780383,2020.0,1930665025.0,3612.63,66,1870,18,18,3,2020,18,3,2020,2,4,2020,1970-01-02 12:17:48.250000002,0-15
96,200762301,2020.0,1930778021.0,102276.04,66,443,24,12,4,2020,12,4,2020,27,4,2020,1970-01-04 04:36:40.062500027,0-15
97,140106271,2020.0,2960626604.0,8615.453,66,1681,5,3,4,2020,7,4,2020,17,4,2020,1970-01-04 21:21:40.406250017,0-15
98,140104423,2020.0,2960628851.0,45059.545999999995,66,1903,5,17,4,2020,21,4,2020,1,5,2020,1970-01-08 08:28:44.312500001,0-15
99,200741174,2020.0,1930657267.0,5767.83,66,1701,18,16,3,2020,16,3,2020,31,3,2020,1970-01-04 18:16:24.937500031,0-15
100,100030194,2020.0,2960622411.0,9851.667,66,109,5,18,3,2020,20,3,2020,30,3,2020,1970-01-06 21:59:49.406250030,0-15
101,200769623,2020.0,1930720012.0,42379.83,66,3004,32,30,3,2020,30,3,2020,14,4,2020,1970-01-08 10:58:20.875000014,0-15
102,200592182,2020.0,1930822583.0,1761.84,66,735,36,24,4,2020,16,4,2020,9,5,2020,1969-12-31 22:17:35.792968759,
103,200743996,2020.0,1930686889.0,94612.03,66,2617,18,22,3,2020,22,3,2020,6,4,2020,1969-12-31 11:24:09.566406256,
104,200769623,2020.0,1930787980.0,22226.35,66,3001,32,15,4,2020,15,4,2020,30,4,2020,1970-01-08 07:32:54.437500030,0-15
105,200749782,2020.0,1930822131.0,88502.01,66,1559,18,25,4,2020,25,4,2020,10,5,2020,1969-12-28 12:48:27.156250010,
106,200744019,2020.0,1930641073.0,1982.06,66,2791,31,13,3,2020,13,3,2020,17,5,2020,1970-01-02 07:22:16.625000017,0-15
107,200769623,2020.0,1930804577.0,2326.08,66,3000,32,21,4,2020,21,4,2020,6,5,2020,1970-01-05 22:06:32.812500006,0-15
108,200705742,2020.0,1930592413.0,9822.38,66,848,18,2,3,2020,2,3,2020,17,3,2020,1969-12-30 14:38:51.164062517,
109,200744019,2020.0,1930857489.0,29592.42,66,2797,18,5,5,2020,5,5,2020,20,5,2020,1970-01-08 22:18:14.312500020,0-15
110,200772670,2020.0,1930739252.0,47903.76,66,184,46,3,4,2020,3,4,2020,18,4,2020,1970-01-06 08:34:26.781250018,0-15
111,200769623,2020.0,1930692953.0,1898.9,66,2999,32,24,3,2020,24,3,2020,8,4,2020,1970-01-05 16:59:24.593750008,0-15
112,200900909,2020.0,1930741081.0,7524.17,66,2765,18,3,4,2020,3,4,2020,18,4,2020,1970-01-02 10:27:01.281250018,0-15
113,200424504,2020.0,1930830032.0,2428.04,66,1694,66,28,4,2020,15,4,2020,15,4,2020,1970-02-16 14:02:55.250000015,46-60
114,100031704,2020.0,1930794735.0,1176.59,66,755,31,16,4,2020,16,4,2020,20,6,2020,1970-01-03 16:17:29.937500020,0-15
115,200764795,2020.0,1930637455.0,10978.51,66,2729,11,18,3,2020,18,3,2020,19,4,2020,1970-01-02 15:39:56.328125019,0-15
116,200337148,2020.0,1930587342.0,45127.79,66,572,18,2,3,2020,2,3,2020,17,3,2020,1970-01-02 05:43:01.625000017,0-15
117,200416837,2020.0,1930599382.0,398.16,66,725,36,4,3,2020,1,3,2020,24,3,2020,1969-12-29 01:21:50.578125024,
118,200769623,2020.0,1930623646.0,58726.21,66,3002,32,9,3,2020,9,3,2020,24,3,2020,1970-01-07 00:32:41.718750024,0-15
119,200726979,2020.0,1930645815.0,588.49,66,325,18,12,3,2020,12,3,2020,27,3,2020,1970-01-01 12:35:11.207031277,0-15
120,200721222,2020.0,1930800642.0,25685.07,66,1118,18,20,4,2020,20,4,2020,5,5,2020,1970-01-01 18:56:59.382812505,0-15
121,200772595,2020.0,1930729101.0,10020.14,66,2401,18,2,4,2020,2,4,2020,17,4,2020,1970-01-02 22:55:39.921875017,0-15
122,200820380,2020.0,1930716191.0,48022.97,66,2544,18,30,3,2020,30,3,2020,14,4,2020,1969-12-29 08:00:07.546875014,
123,200793568,2020.0,1930779652.0,36623.03,66,2656,18,14,4,2020,14,4,2020,29,4,2020,1970-01-03 08:31:34.546875029,0-15
124,200706844,2020.0,1930732708.0,22644.53,66,3063,18,1,4,2020,1,4,2020,16,4,2020,1970-01-07 11:07:36.312500016,0-15
125,100043975,2020.0,1930586661.0,7212.0,66,2919,18,2,3,2020,2,3,2020,17,3,2020,1970-01-16 14:47:45.500000017,16-30
126,200769623,2020.0,1930692548.0,15797.23,66,3002,32,25,3,2020,25,3,2020,9,4,2020,1970-01-08 05:23:27.375000009,0-15
127,200762301,2020.0,1930630515.0,2018.45,66,448,24,11,3,2020,11,3,2020,26,3,2020,1969-12-30 15:48:16.273437526,
128,200769623,2020.0,1930593446.0,14706.98,66,3000,32,4,3,2020,4,3,2020,19,3,2020,1970-01-08 05:21:47.875000019,0-15
129,200729290,2020.0,1930599215.0,115494.14,66,1580,18,4,3,2020,4,3,2020,19,3,2020,1969-12-28 21:23:19.031250019,
130,200769623,2020.0,1930827122.0,1898.9,66,3005,32,27,4,2020,27,4,2020,12,5,2020,1970-01-05 22:10:27.906250012,0-15
131,200769623,2020.0,1930750644.0,37684.36,66,3005,32,6,4,2020,6,4,2020,21,4,2020,1970-01-08 21:46:40.437500021,0-15
132,200705372,2020.0,1930637990.0,19961.05,66,1016,18,13,3,2020,13,3,2020,28,3,2020,1970-01-01 16:01:59.394531278,0-15
133,200769623,2020.0,1930675431.0,11826.09,66,3002,32,22,3,2020,22,3,2020,6,4,2020,1970-01-08 05:13:43.875000006,0-15
134,200742791,2020.0,1930603823.0,24843.48,66,2249,18,10,3,2020,10,3,2020,25,3,2020,1970-01-03 12:28:19.328125025,0-15
135,200743996,2020.0,1930718352.0,32224.05,66,2619,18,30,3,2020,30,3,2020,14,4,2020,1970-01-03 08:08:47.203125014,0-15
136,200769623,2020.0,1930752522.0,9937.06,66,3005,32,6,4,2020,6,4,2020,21,4,2020,1970-01-08 05:12:14.250000021,0-15
137,200759878,2020.0,1930752430.0,12417.47,66,2389,32,8,4,2020,8,4,2020,23,4,2020,1970-01-03 04:42:47.828125023,0-15
138,200762301,2020.0,1930584581.0,4301.57,66,452,24,2,3,2020,2,3,2020,17,3,2020,1969-12-31 19:49:58.136718767,
139,200769623,2020.0,1930885637.0,22549.83,66,2995,32,12,5,2020,12,5,2020,27,5,2020,1970-01-06 03:46:59.968750027,0-15
140,100043936,2020.0,1930627707.0,18145.19,66,2919,9,10,3,2020,10,3,2020,20,3,2020,1970-01-14 17:02:06.625000020,0-15
141,200744019,2020.0,1930748869.0,97776.0,66,2790,18,5,4,2020,5,4,2020,20,4,2020,1970-01-04 00:28:19.484375020,0-15
142,200794332,2020.0,1930720706.0,31599.18,66,625,20,2,4,2020,2,4,2020,17,4,2020,1970-01-01 00:33:46.000000017,0-15
143,200740393,2020.0,1930585380.0,52645.42,66,2919,18,3,3,2020,3,3,2020,18,3,2020,1970-01-14 07:00:54.875000018,0-15
144,200769623,2020.0,1930671465.0,21113.92,66,3003,32,20,3,2020,20,3,2020,4,4,2020,1970-01-08 00:04:44.062500004,0-15
145,200762301,2020.0,1930577119.0,137768.6,66,444,24,27,2,2020,27,2,2020,13,3,2020,1970-01-03 02:02:59.890625013,0-15
146,200759878,2020.0,1930748365.0,13548.66,66,2391,32,5,4,2020,5,4,2020,20,4,2020,1970-01-03 03:44:36.015625020,0-15
147,200759878,2020.0,1930825574.0,35898.48,66,2389,32,27,4,2020,27,4,2020,12,5,2020,1969-12-30 21:33:03.671875012,
148,200704858,2020.0,1930655118.0,109248.63,66,2973,18,16,3,2020,16,3,2020,31,3,2020,1970-01-13 16:10:30.875000031,0-15
149,200762301,2020.0,1930654407.0,7465.1,66,447,24,16,3,2020,16,3,2020,31,3,2020,1970-01-03 01:17:17.312500031,0-15
150,200803720,2020.0,1930872721.0,4729.18,66,722,34,7,5,2020,1,5,2020,11,5,2020,1969-12-28 12:41:54.437500011,
151,200078795,2020.0,1930861108.0,1412.26,66,1211,18,5,5,2020,5,5,2020,20,5,2020,1969-12-29 04:07:27.578125020,
152,200519201,2020.0,1930709582.0,15477.22,66,1576,18,28,3,2020,28,3,2020,12,4,2020,1970-01-03 10:09:57.515625012,0-15
153,200744019,2020.0,1930753198.0,19195.56,66,2791,18,7,4,2020,7,4,2020,22,4,2020,1970-01-05 03:48:54.968750022,0-15
154,200786288,2020.0,1930759958.0,66230.48,66,915,24,8,4,2020,8,4,2020,23,4,2020,1970-01-09 23:08:30.500000023,0-15
155,200418007,2020.0,1930732102.0,47393.05,66,97,18,2,4,2020,2,4,2020,17,4,2020,1970-01-07 05:25:12.875000017,0-15
156,200466603,2020.0,1930664246.0,142732.08,66,2543,18,18,3,2020,18,3,2020,2,4,2020,1969-12-31 14:41:45.988281252,
157,140106408,2020.0,2960622798.0,5791.484999999999,66,2985,5,23,3,2020,23,3,2020,2,4,2020,1970-01-22 15:25:13.125000002,16-30
158,200762301,2020.0,1930721389.0,7943.13,66,448,31,1,4,2020,1,4,2020,5,6,2020,1969-12-30 01:13:11.687500005,
159,200761734,2020.0,1930632938.0,91756.55,66,1192,18,10,3,2020,10,3,2020,25,3,2020,1970-01-03 03:27:35.265625025,0-15
160,200769623,2020.0,1930611981.0,24282.42,66,3000,32,8,3,2020,8,3,2020,23,3,2020,1970-01-08 07:24:41.312500023,0-15
161,200769623,2020.0,1930793187.0,10903.6,66,3002,32,18,4,2020,18,4,2020,3,5,2020,1970-01-08 05:13:43.875000003,0-15
162,200769623,2020.0,1930692727.0,51516.27,66,3005,32,24,3,2020,24,3,2020,8,4,2020,1970-01-08 14:07:51.000000008,0-15
163,200744019,2020.0,1930813045.0,5887.21,66,2798,18,21,4,2020,21,4,2020,6,5,2020,1970-01-08 12:53:10.000000006,0-15
164,200726979,2020.0,1930643416.0,14149.02,66,332,18,12,3,2020,12,3,2020,27,3,2020,1970-01-02 05:50:40.031250027,0-15
165,200706844,2020.0,1930760026.0,38905.5,66,3062,18,31,3,2020,31,3,2020,15,4,2020,1970-01-14 01:40:09.375000015,0-15
166,200418007,2020.0,1930650673.0,1011.24,66,99,31,14,3,2020,14,3,2020,18,5,2020,1970-01-01 23:15:31.421875018,0-15
167,200799367,2020.0,1930720975.0,124605.44,66,1835,18,31,3,2020,31,3,2020,15,4,2020,1969-12-31 04:34:38.593750015,
168,200772595,2020.0,1930705040.0,32039.34,66,2401,18,25,3,2020,25,3,2020,9,4,2020,1970-01-03 05:40:00.640625009,0-15
169,200759878,2020.0,1930700242.0,50054.82,66,2392,32,27,3,2020,27,3,2020,11,4,2020,1969-12-30 23:25:34.546875011,
170,2013,2020.0,1930570370.0,37209.64,66,1535,65,28,2,2020,28,2,2020,28,2,2020,1970-02-11 06:26:58.250000028,31-45
171,200726979,2020.0,1930629390.0,467.72,66,330,18,9,3,2020,9,3,2020,24,3,2020,1969-12-31 23:59:10.359313989,
172,200526831,2020.0,1930666168.0,134095.09,66,2122,18,19,3,2020,19,3,2020,3,4,2020,1970-01-01 10:43:43.699218753,0-15
173,200769623,2020.0,1930845835.0,292.94,66,3002,32,2,5,2020,2,5,2020,17,5,2020,1970-01-03 05:11:42.984375017,0-15
174,100031704,2020.0,1930844129.0,92271.69,66,749,18,30,4,2020,30,4,2020,15,5,2020,1970-01-05 22:58:11.781250015,0-15
175,200769623,2020.0,1930662779.0,35023.47,66,3001,32,18,3,2020,18,3,2020,2,4,2020,1970-01-08 09:05:39.250000002,0-15
176,200020431,2020.0,1930599834.0,4551.58,66,726,36,4,3,2020,1,3,2020,24,3,2020,1969-12-29 12:13:25.546875024,
177,200726979,2020.0,1930730591.0,261.84,66,324,18,1,4,2020,1,4,2020,16,4,2020,1969-12-31 14:00:25.773437516,
178,200769623,2020.0,1930652678.0,33837.66,66,3000,32,15,3,2020,15,3,2020,30,3,2020,1970-01-08 13:04:04.625000030,0-15
179,200729942,2020.0,1930798198.0,11696.53,66,2385,18,17,4,2020,17,4,2020,2,5,2020,1970-01-02 23:56:12.234375002,0-15
180,200705742,2020.0,1930810367.0,8115.04,66,846,18,23,4,2020,23,4,2020,8,5,2020,1969-12-30 12:27:59.078125008,
181,200777735,2020.0,1930670844.0,152067.79,66,1974,18,18,3,2020,18,3,2020,2,4,2020,1969-12-25 19:12:54.437500002,
182,200020431,2020.0,1930617742.0,3117.84,66,728,36,7,3,2020,1,3,2020,24,3,2020,1969-12-29 12:13:25.546875024,
183,200769623,2020.0,1930748572.0,1898.2,66,2998,32,6,4,2020,6,4,2020,21,4,2020,1970-01-05 10:39:53.312500021,0-15
184,200759878,2020.0,1930655535.0,17060.17,66,2393,32,16,3,2020,16,3,2020,31,3,2020,1970-01-03 01:19:39.187500031,0-15
185,100004536,2020.0,1930765834.0,3745.49,66,243,18,14,4,2020,14,4,2020,29,4,2020,1969-12-21 11:44:30.062500029,
186,200769623,2020.0,1930882579.0,9163.34,66,2999,32,11,5,2020,11,5,2020,26,5,2020,1970-01-06 21:17:14.687500026,0-15
187,140104409,2020.0,2960624271.0,166894.25199999998,66,1673,5,26,3,2020,28,3,2020,7,4,2020,1970-01-09 23:37:24.562500007,0-15
188,200744019,2020.0,1930652649.0,1183.45,66,2790,18,16,3,2020,16,3,2020,31,3,2020,1970-01-03 15:49:06.656250031,0-15
189,200769623,2020.0,1930803693.0,53859.97,66,3003,32,23,4,2020,23,4,2020,8,5,2020,1970-01-08 04:53:58.500000008,0-15
190,140104423,2020.0,2960624752.0,32025.363999999994,66,1896,5,1,4,2020,1,4,2020,11,4,2020,1970-01-02 19:01:03.968750011,0-15
191,200707822,2020.0,1930801025.0,61394.52,66,2227,18,18,4,2020,18,4,2020,3,5,2020,1970-01-01 15:43:07.691406253,0-15
192,200782669,2020.0,1930617473.0,23298.58,66,2704,18,9,3,2020,9,3,2020,24,3,2020,1970-01-01 07:41:32.363281274,0-15
